timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1668438226875,70,cats-4,304,,Thread Group 1-3,,true,,170,605,4,4,https://petstore.octoperf.com/images/separator.gif,0,0,0
1668438226875,71,cats-5,304,,Thread Group 1-3,,true,,171,604,4,4,https://petstore.octoperf.com/images/sm_fish.gif,0,0,0
1668438226875,78,cats-6,304,,Thread Group 1-3,,true,,171,604,4,4,https://petstore.octoperf.com/images/sm_dogs.gif,0,0,0
1668438226946,223,cats-7,304,,Thread Group 1-3,,true,,171,608,4,4,https://petstore.octoperf.com/images/sm_reptiles.gif,0,0,151
1668438226947,212,cats-8,304,,Thread Group 1-3,,true,,171,604,4,4,https://petstore.octoperf.com/images/sm_cats.gif,0,0,144
1668438226947,219,cats-9,304,,Thread Group 1-3,,true,,171,605,4,4,https://petstore.octoperf.com/images/sm_birds.gif,0,0,145
1668438227057,469,login,200,,Thread Group 1-4,text,true,,7740,11048,4,4,https://petstore.octoperf.com/actions/Catalog.action,72,0,0
1668438227057,72,login-0,302,,Thread Group 1-4,,true,,218,661,4,4,https://petstore.octoperf.com/actions/Account.action,72,0,0
1668438227129,74,login-1,200,,Thread Group 1-4,text,true,,4955,569,4,4,https://petstore.octoperf.com/actions/Catalog.action,73,0,0
1668438227214,75,login-2,304,,Thread Group 1-4,,true,,172,653,4,4,https://petstore.octoperf.com/css/jpetstore.css,0,0,0
1668438227214,71,login-3,304,,Thread Group 1-4,,true,,172,658,4,4,https://petstore.octoperf.com/images/logo-topbar.gif,0,0,0
1668438227214,73,login-4,304,,Thread Group 1-4,,true,,170,649,4,4,https://petstore.octoperf.com/images/cart.gif,0,0,0
1668438227215,73,login-5,304,,Thread Group 1-4,,true,,170,654,4,4,https://petstore.octoperf.com/images/separator.gif,0,0,0
1668438227216,75,login-6,304,,Thread Group 1-4,,true,,171,653,4,4,https://petstore.octoperf.com/images/sm_fish.gif,0,0,0
1668438227217,72,login-7,304,,Thread Group 1-4,,true,,171,653,4,4,https://petstore.octoperf.com/images/sm_dogs.gif,0,0,0
1668438227285,71,login-8,304,,Thread Group 1-4,,true,,171,657,4,4,https://petstore.octoperf.com/images/sm_reptiles.gif,0,0,0
1668438227288,71,login-9,304,,Thread Group 1-4,,true,,171,653,4,4,https://petstore.octoperf.com/images/sm_cats.gif,0,0,0
1668438227288,71,login-10,304,,Thread Group 1-4,,true,,171,654,4,4,https://petstore.octoperf.com/images/sm_birds.gif,0,0,0
1668438227289,235,login-11,304,,Thread Group 1-4,,true,,171,655,4,4,https://petstore.octoperf.com/images/fish_icon.gif,0,0,160
1668438227289,237,login-12,304,,Thread Group 1-4,,true,,171,655,4,4,https://petstore.octoperf.com/images/dogs_icon.gif,0,0,161
1668438227291,214,login-13,304,,Thread Group 1-4,,true,,171,655,4,4,https://petstore.octoperf.com/images/cats_icon.gif,0,0,144
1668438227357,70,login-14,304,,Thread Group 1-4,,true,,171,659,4,4,https://petstore.octoperf.com/images/reptiles_icon.gif,0,0,0
1668438227359,73,login-15,304,,Thread Group 1-4,,true,,171,656,4,4,https://petstore.octoperf.com/images/birds_icon.gif,0,0,0
1668438227360,73,login-16,304,,Thread Group 1-4,,true,,173,654,4,4,https://petstore.octoperf.com/images/splash.gif,0,0,0
1668438227438,522,order,200,,Thread Group 1-1,text,true,,6922,5975,4,4,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,237,0,166
1668438227438,237,order-0,200,,Thread Group 1-1,text,true,,5383,532,4,4,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,237,0,166
1668438227677,75,order-1,304,,Thread Group 1-1,,true,,172,604,4,4,https://petstore.octoperf.com/css/jpetstore.css,0,0,0
1668438227677,221,order-2,304,,Thread Group 1-1,,true,,172,609,4,4,https://petstore.octoperf.com/images/logo-topbar.gif,0,0,151
1668438227677,227,order-3,304,,Thread Group 1-1,,true,,170,600,4,4,https://petstore.octoperf.com/images/cart.gif,0,0,157
1668438227678,230,order-4,304,,Thread Group 1-1,,true,,170,605,4,4,https://petstore.octoperf.com/images/separator.gif,0,0,158
1668438227678,224,order-5,304,,Thread Group 1-1,,true,,171,604,4,4,https://petstore.octoperf.com/images/sm_fish.gif,0,0,156
1668438227678,217,order-6,304,,Thread Group 1-1,,true,,171,604,4,4,https://petstore.octoperf.com/images/sm_dogs.gif,0,0,148
1668438227752,70,order-7,304,,Thread Group 1-1,,true,,171,608,4,4,https://petstore.octoperf.com/images/sm_reptiles.gif,0,0,0
1668438227822,69,order-8,304,,Thread Group 1-1,,true,,171,604,4,4,https://petstore.octoperf.com/images/sm_cats.gif,0,0,0
1668438227891,69,order-9,304,,Thread Group 1-1,,true,,171,605,4,4,https://petstore.octoperf.com/images/sm_birds.gif,0,0,0
1668438228195,364,order,200,,Thread Group 1-2,text,true,,6922,5975,5,5,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,73,0,0
1668438228195,73,order-0,200,,Thread Group 1-2,text,true,,5383,532,5,5,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,73,0,0
1668438228271,74,order-1,304,,Thread Group 1-2,,true,,172,604,5,5,https://petstore.octoperf.com/css/jpetstore.css,0,0,0
1668438228271,74,order-2,304,,Thread Group 1-2,,true,,172,609,5,5,https://petstore.octoperf.com/images/logo-topbar.gif,0,0,0
1668438228272,69,order-3,304,,Thread Group 1-2,,true,,170,600,5,5,https://petstore.octoperf.com/images/cart.gif,0,0,0
1668438228272,71,order-4,304,,Thread Group 1-2,,true,,170,605,5,5,https://petstore.octoperf.com/images/separator.gif,0,0,0
1668438228273,72,order-5,304,,Thread Group 1-2,,true,,171,604,5,5,https://petstore.octoperf.com/images/sm_fish.gif,0,0,0
